Time,Tick,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20,Run_21,Run_22,Run_23,Run_24,Run_25,Run_26,Run_27,Run_28,Run_29,Run_30,Run_31,Run_32,Run_33,Run_34,Run_35,Run_36,Run_37,Run_38,Run_39,Run_40,Run_41,Run_42,Run_43,Run_44,Run_45,Run_46,Run_47,Run_48,Run_49,Run_50,Run_51,Run_52,Run_53,Run_54,Run_55,Run_56,Run_57,Run_58,Run_59,Run_60,Run_61,Run_62,Run_63,Run_64,Run_65,Run_66,Run_67,Run_68,Run_69,Run_70,Run_71,Run_72,Run_73,Run_74,Run_75,Run_76,Run_77,Run_78,Run_79,Run_80,Run_81,Run_82,Run_83,Run_84,Run_85,Run_86,Run_87,Run_88,Run_89,Run_90,Run_91,Run_92,Run_93,Run_94,Run_95,Run_96,Run_97,Run_98,Run_99,Run_100,Run_101,Run_102,Run_103,Run_104,Run_105,Run_106,Run_107,Run_108,Run_109,Run_110,Run_111,Run_112,Run_113,Run_114,Run_115,Run_116,Run_117,Run_118,Run_119,Run_120,Run_121,Run_122,Run_123,Run_124,Run_125,Run_126,Run_127,Run_128,Run_129,Run_130,Run_131,Run_132,Run_133,Run_134,Run_135,Run_136,Run_137,Run_138,Run_139,Run_140,Run_141,Run_142,Run_143,Run_144,Run_145,Run_146,Run_147,Run_148,Run_149,Run_150,Run_151,Run_152,Run_153,Run_154,Run_155,Run_156,Run_157,Run_158,Run_159,Run_160,Run_161,Run_162,Run_163,Run_164,Run_165,Run_166,Run_167,Run_168,Run_169,Run_170,Run_171,Run_172,Run_173,Run_174,Run_175,Run_176,Run_177,Run_178,Run_179,Run_180,Run_181,Run_182,Run_183,Run_184,Run_185,Run_186,Run_187,Run_188,Run_189,Run_190,Run_191,Run_192,Run_193,Run_194,Run_195,Run_196,Run_197,Run_198,Run_199,Run_200,Average
08:00 AM,0,2296,2340,2398,2362,2267,2290,2275,2392,2336,2340,2313,2321,2460,2255,2266,2253,2237,2367,2323,2387,2375,2374,2356,2332,2402,2346,2315,2231,2350,2370,2377,2464,2425,2256,2339,2389,2282,2293,2341,2346,2329,2347,2318,2356,2288,2348,2311,2376,2265,2307,2454,2429,2294,2262,2315,2356,2365,2414,2217,2346,2284,2397,2410,2318,2373,2305,2351,2348,2328,2324,2351,2391,2346,2283,2392,2342,2336,2313,2382,2330,2324,2395,2318,2328,2345,2367,2369,2256,2344,2299,2232,2291,2339,2415,2406,2343,2361,2267,2335,2342,2323,2329,2382,2333,2348,2314,2384,2307,2351,2322,2370,2367,2366,2270,2341,2399,2408,2387,2297,2306,2424,2333,2275,2330,2378,2375,2317,2268,2387,2283,2427,2355,2381,2294,2311,2435,2374,2377,2290,2293,2385,2354,2341,2341,2393,2335,2352,2312,2399,2279,2280,2297,2266,2329,2322,2326,2367,2417,2278,2349,2296,2334,2302,2290,2390,2256,2286,2318,2282,2351,2374,2350,2333,2320,2318,2368,2261,2367,2343,2317,2363,2274,2396,2314,2418,2276,2367,2403,2385,2413,2277,2391,2222,2309,2303,2352,2300,2287,2352,2313,2337.11
08:10 AM,10,2580,2629,2679,2623,2527,2562,2572,2798,2588,2630,2580,2612,2693,2538,2546,2507,2506,2635,2614,2684,2647,2671,2632,2596,2660,2587,2636,2522,2595,2607,2630,2747,2684,2560,2605,2654,2541,2584,2589,2645,2640,2640,2574,2647,2569,2619,2593,2580,2521,2555,2729,2676,2597,2562,2611,2607,2617,2688,2512,2612,2572,2645,2680,2623,2603,2580,2623,2623,2625,2575,2590,2688,2589,2554,2657,2590,2604,2601,2619,2598,2623,2656,2608,2549,2599,2659,2663,2523,2638,2539,2482,2546,2605,2699,2671,2647,2587,2552,2616,2623,2588,2588,2646,2625,2635,2596,2654,2603,2606,2570,2660,2634,2664,2527,2594,2653,2680,2680,2575,2559,2728,2599,2539,2581,2641,2653,2551,2554,2662,2608,2658,2611,2667,2571,2608,2679,2674,2607,2554,2577,2640,2618,2602,2588,2696,2595,2625,2582,2694,2546,2527,2590,2520,2616,2576,2607,2625,2687,2552,2610,2603,2613,2577,2535,2654,2529,2562,2611,2552,2649,2640,2589,2629,2594,2601,2609,2598,2612,2630,2580,2642,2544,2681,2590,2659,2560,2631,2674,2667,2656,2510,2652,2485,2551,2573,2621,2558,2578,2642,2594,2608.79
08:20 AM,20,1795,1715,1785,1779,1729,1763,1809,1830,1809,1867,1704,1749,1777,1723,1836,1710,1724,1784,1736,1787,1799,1822,1778,1752,1729,1783,1838,1792,1715,1717,1811,1788,1809,1778,1723,1736,1736,1767,1766,1704,1806,1808,1783,1786,1759,1759,1670,1731,1739,1785,1790,1763,1740,1822,1762,1711,1773,1733,1712,1750,1777,1787,1718,1767,1723,1799,1763,1737,1768,1751,1729,1824,1731,1909,1697,1744,1745,1722,1704,1755,1794,1731,1785,1854,1797,1784,1802,1769,1752,1689,1722,1662,1797,1835,1780,1743,1802,1787,1741,1747,1751,1721,1797,1780,1768,1718,1777,1797,1738,1786,1798,1786,1858,1777,1870,1805,1799,1753,1834,1716,1801,1794,1726,1753,1756,1774,1744,1800,1829,1773,1830,1792,1775,1768,1723,1800,1809,1778,1895,1885,1766,1719,1809,1741,1766,1765,1757,1699,1761,1693,1667,1707,1753,1748,1743,1710,1752,1769,1774,1754,1813,1754,1770,1831,1767,1696,1743,1801,1779,1783,1779,1775,1794,1743,1758,1788,1756,1791,1801,1760,1785,1670,1770,1740,1781,1761,1754,1825,1803,1727,1667,1746,1845,1753,1823,1783,1744,1751,1730,1759,1767.22
08:30 AM,30,2391,2500,2454,2430,2441,2353,2335,2461,2413,2327,2340,2421,2479,2378,2377,2382,2366,2413,2424,2444,2449,2441,2404,2332,2560,2418,2456,2388,2374,2424,2584,2449,2412,2402,2377,2508,2365,2313,2382,2435,2461,2485,2398,2418,2301,2500,2407,2339,2295,2421,2525,2411,2434,2371,2399,2404,2504,2419,2288,2535,2428,2536,2482,2389,2464,2401,2441,2396,2358,2532,2395,2448,2383,2578,2527,2429,2402,2402,2337,2407,2471,2456,2371,2483,2451,2440,2393,2434,2404,2367,2329,2452,2351,2520,2424,2402,2474,2392,2474,2361,2425,2362,2466,2452,2392,2413,2417,2444,2436,2401,2432,2427,2309,2385,2388,2392,2455,2435,2504,2318,2421,2475,2418,2438,2550,2387,2484,2355,2439,2337,2485,2423,2372,2393,2454,2503,2475,2404,2563,2605,2484,2416,2411,2460,2489,2393,2443,2396,2502,2393,2399,2362,2350,2423,2369,2356,2371,2493,2395,2423,2352,2506,2349,2320,2462,2389,2389,2544,2388,2517,2536,2359,2380,2426,2456,2536,2361,2474,2375,2482,2467,2374,2453,2371,2534,2438,2429,2343,2476,2504,2398,2442,2431,2397,2407,2540,2425,2336,2291,2542,2424.31
08:40 AM,40,2835,2772,2799,2787,2789,2782,2720,2898,2820,2820,2842,2822,2788,2738,2719,2732,2766,2830,2859,2767,2806,2847,2841,2650,2835,2772,2762,2752,2759,2792,2752,2844,2793,2771,2782,2755,2800,2836,2780,2780,2827,2895,2811,2841,2768,2965,2712,2779,2725,2730,2910,2834,2857,2745,2810,2804,2831,2836,2705,2895,2730,2888,2817,2835,2836,2828,2805,2818,2788,2861,2842,2842,2799,2889,2792,2754,2846,2796,2778,2779,2708,2815,2755,2822,2863,2801,2810,2790,2848,2817,2735,2746,2678,2808,2819,2765,2933,2812,2778,2804,2750,2770,2832,2800,2787,2852,2861,2914,2807,2929,2805,2788,2853,2768,2763,2751,2761,2786,2756,2654,2779,2827,2709,2736,2864,2835,2868,2755,2845,2792,2847,2770,2715,2750,2801,2923,2841,2770,2770,2889,2780,2787,2860,2735,2815,2732,2827,2770,2856,2688,2772,2810,2796,2863,2801,2738,2730,2844,2731,2840,2809,2929,2705,2756,2852,2817,2760,2917,2788,2708,2787,2811,2767,2730,2813,2909,2689,2813,2809,2741,2779,2717,2819,2738,2882,2824,2801,2776,2830,2892,2709,2817,2754,2740,2724,2770,2810,2759,2667,2918,2797.94
08:50 AM,50,3299,3269,3311,3197,3259,3272,3141,3234,3262,3295,3395,3195,3301,3161,3209,3211,3186,3212,3301,3201,3241,3337,3308,3116,3184,3215,3168,3202,3131,3194,3300,3260,3147,3151,3217,3214,3271,3167,3273,3254,3257,3343,3388,3373,3090,3254,3249,3277,3145,3171,3463,3254,3162,3096,3223,3229,3230,3319,3214,3269,3185,3380,3298,3251,3314,3195,3294,3197,3267,3223,3228,3231,3190,3275,3229,3224,3226,3261,3141,3308,3209,3226,3178,3260,3433,3257,3227,3188,3168,3200,3192,3242,3193,3268,3243,3231,3304,3271,3389,3275,3214,3162,3283,3292,3314,3191,3265,3256,3330,3351,3275,3230,3225,3251,3217,3234,3263,3253,3104,3048,3309,3348,3105,3226,3262,3242,3239,3277,3298,3272,3295,3164,3244,3294,3250,3450,3258,3223,3185,3295,3299,3221,3233,3151,3182,3183,3190,3199,3310,3128,3267,3266,3225,3242,3204,3194,3160,3351,3170,3225,3270,3244,3163,3164,3265,3206,3192,3333,3280,3257,3219,3186,3278,3220,3223,3354,3149,3293,3201,3164,3178,3213,3280,3237,3294,3340,3244,3290,3277,3371,3231,3176,3168,3243,3208,3287,3157,3247,3131,3270,3240.18
09:00 AM,60,3683,3625,3663,3586,3738,3706,3644,3744,3694,3680,3630,3575,3661,3636,3591,3635,3568,3787,3769,3685,3783,3644,3693,3471,3629,3719,3661,3593,3615,3524,3749,3711,3557,3515,3603,3678,3587,3634,3702,3681,3693,3656,3744,3745,3644,3698,3557,3781,3628,3605,3780,3684,3569,3563,3731,3590,3664,3831,3709,3741,3599,3672,3719,3686,3780,3635,3731,3582,3818,3691,3613,3784,3627,3670,3702,3605,3710,3715,3527,3754,3604,3668,3606,3696,3757,3646,3728,3578,3658,3615,3652,3624,3612,3710,3707,3687,3740,3666,3851,3789,3678,3612,3679,3717,3669,3615,3663,3759,3624,3750,3751,3640,3717,3717,3548,3586,3707,3693,3565,3593,3680,3760,3525,3617,3655,3642,3746,3635,3675,3662,3703,3620,3654,3655,3657,3769,3654,3733,3636,3642,3704,3629,3732,3632,3674,3675,3568,3589,3716,3572,3618,3695,3583,3689,3675,3665,3577,3671,3634,3588,3755,3780,3556,3434,3772,3601,3653,3740,3699,3719,3536,3604,3744,3603,3651,3776,3585,3639,3645,3596,3676,3541,3716,3633,3698,3737,3611,3630,3793,3781,3727,3699,3617,3671,3557,3671,3674,3687,3586,3743,3664.51
09:10 AM,70,4270,4158,4131,4137,4059,4210,4083,4314,4209,4133,4155,4103,4117,4078,4076,4163,4123,4190,4249,4052,4268,4171,4206,3983,4266,4093,4068,4044,4070,4104,4204,4216,4147,4024,4054,4102,4164,4100,4087,4231,4213,4087,4285,4230,3999,4188,4074,4183,4051,4196,4266,4199,4116,4165,4196,4039,4254,4273,4127,4211,4219,4123,4222,4203,4233,4149,4252,4110,4182,4197,4092,4273,4158,4187,4142,4161,4132,4188,4071,4110,4066,4125,4192,4163,4228,4102,4144,3987,4132,4174,4054,4180,4107,4213,4303,4164,4197,4122,4292,4314,4116,4186,4342,4236,4142,4113,4094,4176,4147,4163,4220,4042,4084,4150,4176,4105,4140,4226,4161,4042,4207,4156,4028,4009,4142,4215,4171,4209,4171,4161,4228,4068,4180,4175,4114,4219,4205,4031,4158,4052,4209,4212,4285,4163,4224,4145,4129,4083,4172,4008,4170,4131,4093,4252,4174,4121,4036,4186,4119,4192,4173,4162,4020,4051,4208,4043,4143,4160,4251,4183,3990,4098,4237,4156,4084,4267,4052,4180,4156,4075,4135,4106,4129,4127,4215,4279,4149,4129,4252,4269,4139,4111,4153,4147,4149,4210,4109,4256,4099,4252,4153.98
09:20 AM,80,4685,4609,4630,4528,4645,4655,4592,4770,4766,4759,4702,4576,4719,4537,4668,4582,4765,4658,4693,4513,4729,4715,4780,4556,4867,4648,4592,4655,4543,4586,4686,4668,4659,4560,4632,4618,4589,4831,4682,4660,4595,4688,4753,4774,4477,4815,4652,4647,4580,4783,4756,4621,4592,4498,4639,4493,4740,4797,4719,4712,4553,4680,4800,4679,4649,4708,4671,4574,4672,4651,4570,4735,4683,4663,4622,4509,4582,4635,4628,4740,4552,4625,4682,4747,4659,4547,4749,4456,4548,4614,4617,4653,4524,4594,4779,4685,4822,4609,4807,4879,4572,4709,4747,4722,4620,4460,4659,4647,4680,4763,4628,4591,4566,4673,4696,4588,4560,4603,4535,4505,4593,4702,4524,4534,4569,4733,4709,4739,4783,4663,4702,4577,4557,4525,4684,4720,4660,4622,4590,4656,4769,4650,4686,4640,4830,4626,4704,4500,4642,4470,4660,4603,4638,4637,4641,4705,4589,4754,4657,4683,4681,4612,4507,4472,4600,4498,4717,4686,4532,4631,4428,4695,4842,4524,4663,4737,4548,4658,4654,4525,4630,4581,4647,4630,4808,4838,4537,4672,4769,4667,4656,4505,4585,4790,4632,4664,4597,4714,4690,4763,4649.13
09:30 AM,90,5142,5061,5152,4956,5287,5215,5125,5293,5224,5286,5291,5097,5224,5092,5191,5125,5193,5228,5305,5148,5275,5205,5210,5120,5346,5282,5189,5192,5018,5259,5218,5233,5149,5027,5118,5226,5194,5347,5280,5171,5290,5199,5360,5291,5093,5284,4956,5261,5119,5239,5464,5207,5134,5141,5176,5052,5295,5319,5272,5074,5244,5234,5371,5247,5244,5104,5127,5103,5264,5209,5202,5200,5169,5261,5177,5210,5107,5220,5227,5371,5157,5306,5216,5227,5229,5223,5264,5089,5114,5137,5018,5118,5117,5211,5160,5361,5225,5217,5311,5273,5095,5215,5207,5112,5295,5077,5125,5241,5294,5208,5136,5245,5124,5253,5217,5210,5137,5145,5094,5145,5137,5242,5084,5102,5125,5258,5161,5186,5248,5166,5244,5096,5157,5082,5255,5351,5210,5196,5159,5189,5286,5120,5199,5218,5348,5140,5132,5049,5216,4979,5153,5071,5138,5244,5187,5100,5117,5332,5200,5195,5143,5156,5051,5096,5217,4958,5089,5245,5131,5129,4987,5161,5342,5197,5154,5195,5193,5127,5144,5114,5234,5128,5202,5165,5176,5240,5167,5286,5202,5303,5193,5061,5132,5203,5249,5137,5082,5183,5172,5231,5187.03
